project_id,start_date,end_date,planned_duration_days,actual_duration_days,team_size,num_bugs,num_change_requests,delivery_delay_days,budget_overrun_pct,predicted_risk
P10044,2022-06-15,2022-09-27,119,104,24,51,1,-15,0.38,Low
P10045,2022-11-01,2023-04-23,141,173,27,27,0,32,-0.02,Medium
P10046,2024-12-02,2025-07-30,188,240,21,73,15,52,0.26,High
P10047,2024-03-01,2024-09-07,169,190,25,73,10,21,-0.03,Low
P10048,2021-11-29,2022-01-18,78,50,10,19,11,-28,0.1,Low
P10049,2020-12-06,2021-08-25,231,262,17,35,13,31,0.41,High
P10050,2020-08-12,2021-03-31,229,231,7,22,6,2,0.18,Low
P10051,2023-09-27,2024-05-17,204,233,26,20,10,29,0.15,Medium
P10052,2021-03-23,2021-11-05,206,227,11,64,11,21,0.59,High
P10053,2024-05-28,2024-08-09,77,73,25,77,4,-4,0.38,Medium
P10054,2020-01-10,2020-08-03,172,206,13,32,4,34,0.35,High
P10055,2024-12-17,2025-05-14,123,148,26,57,10,25,0.48,Medium
P10056,2023-02-15,2023-08-24,162,190,18,3,8,28,0.12,Low
P10057,2021-02-16,2021-06-06,88,110,17,71,2,22,0.51,Medium
P10058,2023-12-18,2024-04-14,66,118,13,24,8,52,0.13,Medium
P10059,2024-05-09,2024-10-29,130,173,29,68,13,43,0.22,High
P10060,2021-08-23,2021-12-21,99,120,17,2,13,21,0.33,High
P10061,2021-11-09,2022-03-22,80,133,26,79,13,53,-0.02,High
P10062,2023-07-10,2024-02-26,225,231,9,38,1,6,-0.09,Low
P10063,2024-08-21,2025-01-20,157,152,16,77,9,-5,0.39,Low
P10064,2023-10-21,2024-02-08,124,110,7,65,3,-14,0.46,Medium
P10065,2020-08-31,2021-01-26,123,148,29,71,16,25,0.34,High
P10066,2024-12-26,2025-08-01,163,218,20,70,15,55,0.32,High
P10067,2020-06-16,2020-11-10,171,147,6,58,4,-24,-0.08,Low
P10068,2022-04-26,2022-12-14,219,232,14,87,12,13,-0.04,Medium
P10069,2021-04-15,2021-11-26,195,225,17,72,8,30,0.28,Medium
P10070,2022-06-19,2022-12-02,110,166,21,87,0,56,0.38,High
P10071,2024-06-22,2024-11-04,110,135,16,89,14,25,0.54,High
P10072,2022-11-04,2023-03-08,94,124,23,63,8,30,0.3,Medium
P10073,2021-05-16,2021-09-20,99,127,8,89,4,28,0.06,Low
P10074,2021-07-02,2022-03-09,234,250,17,87,0,16,0.47,Medium
P10075,2022-11-12,2023-04-18,133,157,8,51,14,24,-0.08,Medium
P10076,2024-02-12,2024-07-21,163,160,22,3,11,-3,0.03,Low
P10077,2021-11-29,2022-08-12,210,256,24,9,17,46,0.08,High
P10078,2024-05-26,2024-11-20,145,178,18,18,1,33,0.43,High
P10079,2022-12-03,2023-08-04,223,244,6,42,18,21,0.37,High
P10080,2024-12-24,2025-08-26,210,245,10,75,13,35,0.23,High
P10081,2020-10-22,2021-02-13,113,114,12,78,17,1,0.53,High
P10082,2022-02-16,2022-05-05,100,78,25,21,10,-22,0.26,Low
P10083,2024-09-30,2025-04-22,195,204,9,34,12,9,-0.07,Low
P10084,2020-03-27,2020-06-21,79,86,20,80,2,7,0.34,Low
P10085,2022-03-11,2022-10-16,198,219,15,74,14,21,0.19,Medium
P10086,2024-05-23,2024-09-29,122,129,16,5,7,7,0.44,Medium
P10087,2023-05-18,2024-01-12,213,239,15,3,7,26,0.21,Medium
P10088,2023-11-06,2024-05-23,212,199,19,60,19,-13,-0.06,Low
P10089,2021-07-12,2021-11-19,90,130,22,53,17,40,0.58,High
P10090,2023-04-21,2023-12-14,227,237,22,90,11,10,0.55,High
P10091,2023-11-18,2024-05-24,206,188,11,22,16,-18,0.14,Medium
P10092,2023-10-11,2024-03-25,163,166,28,48,11,3,0.22,High
P10093,2021-09-18,2021-11-10,65,53,17,8,11,-12,-0.01,Low
P10094,2020-04-10,2020-10-26,159,199,15,16,19,40,0.09,High
P10095,2021-03-06,2021-06-17,63,103,18,29,17,40,0.26,High
P10096,2024-08-05,2025-03-21,219,228,20,62,3,9,0.39,Medium
P10097,2020-03-21,2020-09-20,180,183,21,43,10,3,0.2,Low
P10098,2020-05-08,2020-11-01,123,177,23,49,11,54,0.52,High
P10099,2022-08-10,2022-11-04,97,86,20,18,8,-11,0.46,Low
P10100,2023-06-15,2023-12-23,180,191,20,34,12,11,0.38,High
P10101,2020-01-05,2020-07-12,183,189,16,68,1,6,0.12,Low
P10102,2024-06-13,2024-12-19,202,189,5,56,19,-13,0.03,Low
P10103,2020-01-05,2020-06-03,155,150,20,66,8,-5,0.32,Medium
P10104,2020-12-04,2021-02-17,61,75,14,4,9,14,0.15,Medium
P10105,2023-09-26,2024-01-09,71,105,6,7,4,34,0.03,Low
P10106,2022-08-23,2023-01-16,169,146,11,53,12,-23,-0.08,Low
P10107,2020-12-25,2021-06-05,108,162,6,92,8,54,0.6,High
P10108,2024-11-19,2025-07-19,229,242,16,64,8,13,-0.03,Low
P10109,2023-03-06,2023-07-20,105,136,10,99,4,31,0.24,High
P10110,2022-04-20,2022-09-04,155,137,9,87,10,-18,0.13,Low
P10111,2021-03-29,2021-08-24,162,148,10,8,5,-14,0.47,Low
P10112,2024-04-27,2024-07-23,85,87,20,14,8,2,0.33,Low
P10113,2021-06-07,2021-10-18,100,133,21,36,3,33,0.04,Medium
P10114,2022-08-11,2023-01-09,128,151,11,2,16,23,0.12,Medium
P10115,2024-09-11,2025-02-10,141,152,22,12,15,11,0.06,Medium
P10116,2022-02-22,2022-10-07,183,227,12,13,6,44,0.38,High
P10117,2020-12-23,2021-07-27,184,216,21,89,2,32,-0.0,Medium
P10118,2024-05-02,2024-08-13,93,103,27,94,0,10,0.18,Low
P10119,2020-08-12,2021-02-22,154,194,9,78,5,40,0.11,Medium
P10120,2020-01-03,2020-04-01,94,89,16,14,7,-5,0.41,Low
P10121,2023-05-06,2023-12-02,184,210,6,47,13,26,0.4,High
P10122,2020-07-01,2020-10-17,130,108,7,49,0,-22,0.51,Low
P10123,2024-12-22,2025-04-07,117,106,27,22,2,-11,0.55,Low
P10124,2021-01-08,2021-07-19,151,192,9,78,13,41,0.36,High
P10125,2020-12-08,2021-06-28,211,202,13,11,5,-9,0.03,Low
P10126,2024-06-24,2024-10-11,128,109,23,49,11,-19,0.23,High
P10127,2022-07-22,2023-02-03,183,196,26,67,2,13,0.49,Medium
P10128,2024-11-26,2025-01-16,69,51,12,91,2,-18,0.24,Medium
P10129,2022-05-02,2022-12-17,182,229,22,69,9,47,0.34,High
P10130,2020-11-03,2021-06-12,174,221,17,81,13,47,0.51,High
P10131,2023-05-18,2023-11-24,154,190,13,98,17,36,0.44,High
P10132,2024-12-13,2025-08-15,205,245,26,64,15,40,0.59,High
P10133,2021-03-06,2021-09-16,167,194,6,59,0,27,0.51,Medium
P10134,2023-12-16,2024-02-25,85,71,22,1,7,-14,0.55,Low
P10135,2022-01-02,2022-08-30,223,240,17,35,17,17,0.39,High
P10136,2021-04-19,2021-09-20,121,154,22,67,9,33,0.07,Medium
P10137,2021-03-06,2021-09-29,221,207,12,60,19,-14,0.03,Low
P10138,2024-06-05,2024-11-17,142,165,17,0,19,23,-0.03,Medium
P10139,2022-04-17,2022-07-14,90,88,11,68,16,-2,0.15,Medium
P10140,2022-12-07,2023-03-09,62,92,28,96,0,30,0.16,Medium
P10141,2022-10-09,2023-01-14,75,97,8,75,18,22,0.33,High
P10142,2021-07-08,2022-02-24,182,231,10,8,17,49,0.49,High
P10143,2024-03-23,2024-08-05,121,135,14,77,18,14,0.35,High
P10144,2020-07-14,2021-02-12,239,213,22,88,18,-26,0.4,High
P10145,2021-11-24,2022-03-24,118,120,27,1,3,2,-0.03,Low
P10146,2020-09-15,2021-06-14,239,272,11,77,0,33,-0.09,Medium
P10147,2022-10-10,2023-02-05,72,118,13,97,2,46,0.55,High
P10148,2024-04-06,2024-11-29,204,237,8,85,7,33,0.21,High
P10149,2020-08-25,2021-01-17,164,145,13,55,1,-19,0.42,Low
P10150,2022-06-12,2022-08-14,77,63,19,68,6,-14,0.48,Medium
P10151,2021-06-10,2021-11-15,102,158,17,39,5,56,-0.08,Medium
P10152,2022-10-08,2023-05-18,189,222,25,12,18,33,0.56,High
P10153,2023-11-21,2024-02-11,79,82,16,47,9,3,0.52,Medium
P10154,2024-07-20,2024-12-03,90,136,14,77,9,46,0.2,Medium
P10155,2020-09-11,2021-05-28,239,259,16,28,17,20,-0.09,Medium
P10156,2024-11-14,2025-07-12,223,240,21,2,17,17,0.55,High
P10157,2023-05-01,2023-06-13,72,43,5,75,15,-29,-0.05,Low
P10158,2022-04-18,2022-08-12,76,116,19,24,4,40,0.37,High
P10159,2022-10-22,2023-06-25,188,246,24,94,13,58,0.08,High
P10160,2021-07-31,2021-09-19,74,50,10,9,15,-24,0.17,Medium
P10161,2020-01-02,2020-06-27,191,177,15,77,11,-14,0.29,High
P10162,2024-10-19,2025-03-02,104,134,7,25,18,30,0.03,Medium
P10163,2020-08-02,2021-02-03,169,185,6,21,8,16,-0.04,Low
P10164,2022-10-18,2023-07-25,230,280,21,72,14,50,0.5,High
P10165,2023-02-07,2023-04-27,87,79,8,8,15,-8,0.26,High
P10166,2024-01-10,2024-07-05,132,177,26,77,1,45,0.09,Low
P10167,2022-10-22,2023-05-29,202,219,11,79,13,17,0.26,High
P10168,2024-07-25,2025-02-14,198,204,13,17,0,6,0.02,Low
P10169,2023-10-25,2024-04-04,142,162,27,56,15,20,0.59,High
P10170,2023-12-02,2024-05-10,145,160,16,95,14,15,0.19,Medium
P10171,2021-07-02,2021-12-22,122,173,25,6,16,51,0.49,High
P10172,2020-01-31,2020-06-16,81,137,22,4,7,56,0.22,High
P10173,2022-07-24,2022-10-20,82,88,15,86,17,6,-0.09,Low
P10174,2024-06-23,2024-08-29,89,67,26,68,4,-22,0.3,Medium
P10175,2021-10-18,2022-06-08,194,233,27,58,17,39,0.02,High
P10176,2024-05-07,2024-09-16,89,132,12,54,13,43,-0.03,High
P10177,2022-03-30,2022-10-06,201,190,26,51,3,-11,0.34,Low
P10178,2024-07-18,2025-02-09,149,206,21,44,0,57,0.43,High
P10179,2024-10-28,2025-05-14,199,198,10,58,7,-1,-0.02,Low
P10180,2022-03-12,2022-09-11,179,183,6,31,7,4,0.03,Low
P10181,2021-01-25,2021-05-07,63,102,7,23,15,39,0.01,High
P10182,2023-03-20,2023-06-19,91,91,24,20,17,0,0.42,High
P10183,2020-04-30,2021-01-31,233,276,6,4,6,43,0.33,High
P10184,2022-01-04,2022-08-07,215,215,25,94,14,0,0.45,High
P10185,2024-05-19,2024-11-09,171,174,12,57,12,3,0.26,High
P10186,2024-06-13,2024-11-22,147,162,13,16,15,15,0.2,Medium
P10187,2021-02-03,2021-10-17,238,256,25,10,17,18,0.58,High
P10188,2023-08-22,2023-11-13,89,83,16,48,7,-6,0.03,Low
P10189,2023-03-31,2023-08-14,110,136,10,51,2,26,0.4,Medium
P10190,2021-11-15,2022-02-16,109,93,22,99,10,-16,0.07,Low
P10191,2022-09-05,2023-03-22,183,198,9,16,14,15,0.05,Medium
P10192,2020-11-08,2021-03-27,138,139,10,21,15,1,0.11,Medium
P10193,2022-03-05,2022-10-02,187,211,26,68,16,24,0.22,High
P10194,2021-01-30,2021-08-12,182,194,14,90,0,12,0.38,Medium
P10195,2023-11-01,2024-01-09,66,69,20,52,1,3,0.58,Medium
P10196,2022-12-15,2023-03-03,63,78,27,55,1,15,-0.08,Low
P10197,2022-10-18,2023-01-30,89,104,28,84,9,15,0.28,Medium
P10198,2022-02-13,2022-04-24,92,70,17,54,10,-22,0.03,Low
P10199,2024-10-12,2025-02-18,133,129,22,64,12,-4,0.14,Medium
P10200,2020-08-06,2020-12-24,147,140,29,82,1,-7,0.09,Low
P10201,2021-04-01,2021-11-24,233,237,23,97,6,4,0.12,Low
P10202,2022-11-06,2023-05-14,197,189,28,40,6,-8,0.45,Low
P10203,2023-09-30,2024-01-12,74,104,23,71,10,30,0.49,Medium
P10204,2024-07-29,2024-11-29,73,123,18,34,5,50,0.06,Medium
P10205,2024-03-21,2024-05-31,78,71,23,86,13,-7,0.08,Low
P10206,2023-02-05,2023-10-24,226,261,28,52,17,35,0.1,High
P10207,2021-11-12,2022-02-22,75,102,29,25,5,27,0.47,Medium
P10208,2022-12-28,2023-05-10,74,133,16,30,8,59,0.13,Medium
P10209,2022-03-10,2022-08-03,126,146,23,91,5,20,0.06,Low
P10210,2020-01-12,2020-07-14,152,184,6,34,8,32,0.14,Medium
P10211,2022-03-03,2022-11-16,223,258,24,78,5,35,0.2,Medium
P10212,2024-06-22,2025-01-04,151,196,18,2,10,45,0.39,High
P10213,2020-10-02,2021-04-17,174,197,29,18,7,23,0.55,Medium
P10214,2022-11-14,2023-07-11,218,239,15,13,10,21,0.2,Medium
P10215,2024-03-07,2024-06-06,80,91,23,17,7,11,0.48,Medium
P10216,2021-03-07,2021-09-07,130,184,9,76,10,54,0.31,High
P10217,2020-11-17,2021-04-07,167,141,17,8,7,-26,0.46,Low
P10218,2024-03-11,2024-07-24,113,135,21,84,1,22,-0.0,Low
P10219,2023-01-24,2023-09-15,228,234,26,28,5,6,-0.05,Low
P10220,2022-11-19,2023-05-01,134,163,25,68,4,29,-0.06,Low
P10221,2024-07-21,2025-02-24,196,218,26,83,0,22,0.36,Medium
P10222,2021-09-13,2022-05-15,218,244,20,3,19,26,-0.02,Medium
P10223,2020-11-11,2021-06-06,151,207,7,49,2,56,0.3,High
P10224,2022-09-13,2023-02-17,103,157,19,57,2,54,0.04,Medium
P10225,2020-01-08,2020-03-21,62,73,25,32,6,11,-0.05,Low
P10226,2023-12-02,2024-04-25,116,145,29,55,0,29,0.5,Medium
P10227,2024-07-17,2024-09-30,89,75,14,77,15,-14,0.23,High
P10228,2024-04-05,2024-09-12,121,160,22,46,19,39,0.46,High
P10229,2023-02-14,2023-10-01,231,229,26,47,12,-2,0.44,High
P10230,2023-04-21,2023-10-06,149,168,22,94,13,19,0.32,High
P10231,2021-05-11,2021-11-06,191,179,18,64,10,-12,-0.06,Low
P10232,2020-02-02,2020-08-26,168,206,5,33,6,38,-0.1,Low
P10233,2024-05-31,2024-12-13,166,196,26,78,12,30,0.12,Medium
P10234,2024-01-07,2024-09-11,210,248,19,7,9,38,0.26,High
P10235,2022-02-06,2022-06-27,156,141,28,5,13,-15,0.14,Medium
P10236,2020-07-16,2020-11-07,65,114,25,88,11,49,0.08,High
P10237,2023-12-24,2024-09-18,238,269,8,42,0,31,0.07,Medium
P10238,2023-08-03,2023-12-28,143,147,29,29,19,4,0.31,High
P10239,2024-01-18,2024-07-30,171,194,20,11,9,23,0.39,Medium
P10240,2020-12-23,2021-06-24,195,183,19,51,9,-12,0.21,Low
P10241,2020-09-22,2020-11-23,77,62,19,15,19,-15,0.06,Low
P10242,2021-07-10,2021-09-21,79,73,8,36,1,-6,0.35,Low
P10243,2024-09-27,2024-11-30,94,64,21,18,6,-30,0.07,Low
P10244,2023-12-16,2024-07-11,206,208,20,52,12,2,0.51,High
P10245,2021-02-18,2021-08-18,170,181,26,68,6,11,0.15,Medium
P10246,2022-08-01,2023-02-27,209,210,9,46,5,1,0.23,Medium
P10247,2021-07-21,2021-10-17,67,88,15,91,16,21,0.04,Medium
P10248,2020-02-20,2020-04-20,76,60,13,90,0,-16,0.02,Low
P10249,2020-03-10,2020-08-10,99,153,8,44,3,54,0.4,High
P10250,2024-04-19,2024-07-11,60,83,17,38,0,23,0.1,Low
P10251,2023-05-27,2024-02-05,201,254,20,18,0,53,0.38,High
P10252,2022-05-16,2022-10-15,119,152,15,73,10,33,0.32,High
P10253,2020-01-19,2020-08-09,194,203,16,42,19,9,0.16,Medium
P10254,2021-05-30,2022-01-15,186,230,18,86,4,44,0.52,High
P10255,2022-08-26,2023-03-06,135,192,28,67,18,57,0.31,High
P10256,2023-07-25,2023-12-06,133,134,14,14,9,1,0.09,Low
P10257,2020-07-10,2020-12-05,162,148,16,80,8,-14,0.38,Low
P10258,2024-06-17,2024-12-17,180,183,12,58,8,3,0.46,Medium
P10259,2022-08-08,2023-02-17,148,193,6,50,9,45,0.25,High
P10260,2024-08-19,2025-02-28,141,193,23,56,19,52,0.25,High
P10261,2021-04-19,2021-08-01,87,104,22,3,5,17,0.26,Medium
P10262,2022-08-03,2022-12-15,142,134,21,65,11,-8,0.15,Medium
P10263,2024-09-21,2024-12-21,104,91,20,82,16,-13,0.01,Low
P10264,2021-02-14,2021-09-01,170,199,9,55,7,29,0.54,Medium
P10265,2020-09-19,2021-01-26,129,129,9,3,13,0,0.31,High
P10266,2023-03-25,2023-09-02,151,161,8,86,1,10,0.3,Medium
P10267,2024-01-13,2024-06-24,167,163,24,15,16,-4,0.22,High
P10268,2023-04-16,2023-10-17,178,184,16,73,7,6,-0.08,Low
P10269,2022-04-19,2022-08-07,84,110,8,53,8,26,0.22,Medium
P10270,2020-12-24,2021-07-22,155,210,14,28,14,55,0.37,High
P10271,2023-12-13,2024-09-08,217,270,14,70,12,53,0.45,High
P10272,2023-07-23,2024-04-14,219,266,5,60,0,47,0.37,High
P10273,2020-01-07,2020-05-02,121,116,18,61,9,-5,0.33,Low
P10274,2024-02-27,2024-10-27,226,243,9,96,0,17,0.32,Medium
P10275,2021-09-01,2022-03-28,222,208,14,28,18,-14,0.19,Medium
P10276,2023-10-12,2024-04-12,156,183,26,34,5,27,0.47,Medium
P10277,2020-05-09,2020-10-14,107,158,5,17,4,51,0.47,High
P10278,2022-02-10,2022-08-27,179,198,16,35,18,19,0.46,High
P10279,2023-11-28,2024-05-09,181,163,7,25,17,-18,0.37,High
P10280,2020-08-19,2021-02-11,193,176,26,63,12,-17,0.07,Low
P10281,2021-04-20,2022-01-19,220,274,16,10,8,54,0.4,High
P10282,2024-09-08,2024-12-25,69,108,14,26,4,39,0.19,Medium
P10283,2023-11-01,2024-02-26,86,117,5,32,7,31,0.35,High
P10284,2020-09-18,2020-12-25,112,98,8,21,4,-14,0.55,Low
P10285,2021-06-27,2021-11-25,122,151,11,80,16,29,0.06,Medium
P10286,2022-08-09,2022-11-18,82,101,23,7,9,19,0.54,Medium
P10287,2022-07-06,2022-11-01,102,118,12,43,17,16,-0.07,Medium
P10288,2023-01-17,2023-06-27,141,161,18,10,9,20,0.22,Medium
P10289,2020-10-29,2021-02-09,85,103,13,85,2,18,0.5,Medium
P10290,2024-11-19,2025-04-07,146,139,14,82,5,-7,0.5,Medium
P10291,2022-07-25,2022-12-23,104,151,14,64,19,47,0.13,High
P10292,2023-02-09,2023-09-26,170,229,6,50,7,59,0.48,High
P10293,2022-09-13,2023-03-28,165,196,8,44,0,31,0.44,High
P10294,2022-11-09,2023-05-16,162,188,7,95,11,26,0.32,High
P10295,2024-07-14,2024-11-13,120,122,19,15,8,2,0.43,Low
P10296,2020-06-12,2021-01-07,161,209,13,41,18,48,-0.04,High
P10297,2022-08-28,2022-12-21,60,115,17,43,12,55,0.38,High
P10298,2024-05-01,2024-08-14,123,105,21,93,14,-18,0.09,Low
P10299,2022-08-25,2023-03-20,148,207,14,94,2,59,-0.01,Medium
P10300,2020-03-31,2020-06-04,72,65,23,35,0,-7,0.54,Medium
P10301,2024-03-11,2024-10-17,236,220,13,52,15,-16,0.36,High
P10302,2022-01-26,2022-07-19,196,174,21,41,18,-22,0.46,High
P10303,2023-08-17,2024-03-12,182,208,9,6,13,26,0.58,High
P10304,2024-05-07,2024-11-09,205,186,14,74,8,-19,0.29,Medium
P10305,2020-06-26,2021-02-27,197,246,6,65,9,49,0.57,High
P10306,2021-12-09,2022-07-19,217,222,14,88,7,5,0.02,Low
P10307,2020-05-15,2021-01-07,180,237,11,25,15,57,0.38,High
P10308,2020-01-13,2020-07-26,175,195,17,77,3,20,0.39,Medium
P10309,2021-04-11,2021-09-18,178,160,24,55,18,-18,0.23,High
P10310,2021-11-19,2022-04-25,104,157,6,93,1,53,0.24,High
P10311,2022-11-12,2023-06-27,228,227,8,51,15,-1,0.3,High
P10312,2022-07-08,2022-10-10,93,94,10,23,9,1,0.44,Low
P10313,2020-05-13,2020-07-22,78,70,15,43,8,-8,0.03,Low
P10314,2022-10-10,2023-04-30,201,202,25,4,17,1,0.46,High
P10315,2020-03-28,2020-06-17,91,81,24,94,10,-10,0.31,Low
P10316,2020-07-02,2021-01-25,152,207,10,70,7,55,0.28,High
P10317,2023-10-18,2024-04-08,146,173,8,84,16,27,0.01,Medium
P10318,2024-10-20,2025-03-23,160,154,20,69,6,-6,0.48,Medium
P10319,2021-10-10,2021-12-20,97,71,29,12,14,-26,0.28,High
P10320,2023-02-13,2023-08-15,164,183,22,24,19,19,0.43,High
P10321,2023-06-25,2023-09-15,68,82,14,28,19,14,0.21,High
P10322,2024-06-02,2024-12-31,156,212,6,62,6,56,0.28,High
P10323,2023-05-06,2024-01-01,231,240,23,50,0,9,0.1,Low
P10324,2023-09-16,2024-04-08,231,205,27,97,4,-26,0.23,Low
P10325,2020-10-20,2021-06-10,213,233,15,94,13,20,0.33,High
P10326,2023-11-25,2024-07-23,215,241,26,69,4,26,-0.06,Low
P10327,2022-11-30,2023-05-04,149,155,22,92,7,6,0.09,Low
P10328,2022-07-08,2022-12-25,116,170,6,60,12,54,0.1,High
P10329,2022-11-03,2023-04-21,124,169,15,79,10,45,0.41,High
P10330,2022-01-05,2022-05-05,93,120,27,82,2,27,0.51,Medium
P10331,2021-05-15,2021-08-29,109,106,11,77,18,-3,0.16,Medium
P10332,2023-06-07,2023-11-18,165,164,11,96,15,-1,0.09,Low
P10333,2022-08-13,2023-02-23,135,194,16,12,6,59,0.48,High
P10334,2022-01-09,2022-05-26,133,137,18,40,6,4,0.44,Medium
P10335,2022-06-19,2023-04-09,235,294,8,54,8,59,0.58,High
P10336,2021-05-07,2021-12-18,239,225,23,2,13,-14,-0.02,Low
P10337,2021-02-27,2021-09-25,208,210,16,14,3,2,-0.1,Low
P10338,2024-01-09,2024-08-17,187,221,10,0,0,34,0.01,Low
P10339,2020-01-25,2020-06-27,161,154,14,36,7,-7,0.09,Low
P10340,2023-01-28,2023-04-11,96,73,26,47,14,-23,0.43,High
P10341,2024-10-14,2025-03-05,139,142,11,24,15,3,0.27,Medium
P10342,2024-11-15,2025-07-11,193,238,12,12,14,45,0.36,High
P10343,2020-02-05,2020-10-22,220,260,26,11,9,40,0.23,High
P10344,2021-05-05,2021-08-10,65,97,10,45,5,32,0.07,Medium
P10345,2024-05-08,2024-09-19,131,134,24,86,16,3,-0.08,Low
P10346,2021-05-05,2021-08-01,98,88,28,93,16,-10,0.5,High
P10347,2023-11-22,2024-05-26,156,186,24,29,12,30,0.43,High
P10348,2024-01-14,2024-08-25,184,224,20,88,9,40,-0.06,Medium
P10349,2024-04-25,2024-11-10,207,199,8,2,10,-8,0.04,Low
P10350,2022-11-17,2023-05-20,155,184,24,66,5,29,0.07,Low
P10351,2023-03-14,2023-11-01,188,232,22,25,9,44,0.27,High
P10352,2023-04-29,2023-08-03,103,96,22,43,15,-7,0.27,High
P10353,2024-06-13,2024-10-25,139,134,6,76,11,-5,0.13,Medium
P10354,2020-04-04,2020-11-19,231,229,21,7,10,-2,0.57,Medium
P10355,2024-10-31,2025-06-01,158,213,27,88,18,55,0.49,High
P10356,2021-03-24,2021-09-12,165,172,6,47,8,7,0.34,Low
P10357,2021-04-18,2021-12-05,182,231,13,30,4,49,0.58,High
P10358,2021-07-01,2021-12-06,111,158,8,36,0,47,0.58,High
P10359,2020-07-07,2021-04-21,233,288,28,10,13,55,0.09,High
P10360,2022-02-07,2022-07-11,155,154,10,39,19,-1,0.42,High
P10361,2020-08-21,2021-03-14,188,205,22,74,11,17,0.56,High
P10362,2022-01-31,2022-07-05,168,155,7,14,7,-13,0.5,Low
P10363,2022-09-17,2023-01-31,115,136,29,89,17,21,0.41,High
P10364,2020-06-07,2020-12-20,216,196,19,39,2,-20,0.42,Medium
P10365,2023-03-18,2023-08-08,146,143,16,45,18,-3,0.58,Medium
P10366,2022-12-09,2023-04-06,73,118,23,60,13,45,0.36,High
P10367,2022-08-20,2022-11-16,93,88,22,97,11,-5,0.1,Low
P10368,2021-07-07,2021-12-23,162,169,19,91,1,7,0.11,Low
P10369,2022-04-14,2022-10-27,198,196,23,61,11,-2,0.17,Medium
P10370,2022-09-13,2023-02-11,121,151,19,73,11,30,0.26,High
